hour,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEA1,DEA2,DEA3,DEA4,DEA5,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEE0,DEF0,DEG0
13,1.36904832,1.374622033,1.374622033,1.36904832,1.36904832,1.36904832,1.487670675,1.487670675,1.36904832,1.36904832,1.36904832,1.372199991,1.372199991,1.575529169,1.515559729,1.529492068,1.487670675,1.433752044,1.372199991,1.515559729,1.515559729,1.515559729,1.575529169,1.529492068,1.529492068,1.529492068,1.433752044,1.529492068,1.529492068,1.374622033,1.529492068,1.529492068,1.372199991,1.372199991,1.372199991,1.372199991,1.515559729,1.450788357
14,1.381419238,1.374622033,1.374622033,1.381419238,1.381419238,1.381419238,1.478225146,1.478225146,1.381419238,1.381419238,1.381419238,1.379996582,1.379996582,1.585165434,1.515559729,1.524542255,1.478225146,1.416105865,1.379996582,1.515559729,1.515559729,1.515559729,1.585165434,1.524542255,1.524542255,1.524542255,1.416105865,1.524542255,1.524542255,1.374622033,1.524542255,1.524542255,1.379996582,1.379996582,1.379996582,1.379996582,1.515559729,1.435244197
15,1.393790157,1.456330336,1.456330336,1.393790157,1.393790157,1.393790157,1.487670675,1.487670675,1.393790157,1.393790157,1.393790157,1.383894878,1.383894878,1.589983566,1.515559729,1.529492068,1.487670675,1.433752044,1.383894878,1.515559729,1.515559729,1.515559729,1.589983566,1.529492068,1.529492068,1.529492068,1.433752044,1.529492068,1.529492068,1.456330336,1.529492068,1.529492068,1.383894878,1.383894878,1.383894878,1.383894878,1.515559729,1.424881423
16,1.410284715,1.413072999,1.413072999,1.410284715,1.410284715,1.410284715,1.506561731,1.506561731,1.410284715,1.410284715,1.410284715,1.379996582,1.379996582,1.589983566,1.511241895,1.53444188,1.506561731,1.442575133,1.379996582,1.511241895,1.511241895,1.511241895,1.589983566,1.53444188,1.53444188,1.53444188,1.442575133,1.53444188,1.53444188,1.413072999,1.53444188,1.53444188,1.379996582,1.379996582,1.379996582,1.379996582,1.511241895,1.43006281
17,1.414408354,1.41787937,1.41787937,1.414408354,1.414408354,1.414408354,1.525452787,1.525452787,1.414408354,1.414408354,1.414408354,1.376098287,1.376098287,1.585165434,1.506924061,1.539391693,1.525452787,1.464632857,1.376098287,1.506924061,1.506924061,1.506924061,1.585165434,1.539391693,1.539391693,1.539391693,1.464632857,1.539391693,1.539391693,1.41787937,1.539391693,1.539391693,1.376098287,1.376098287,1.376098287,1.376098287,1.506924061,1.398974488
18,1.418531994,1.422685741,1.422685741,1.418531994,1.418531994,1.418531994,1.534898315,1.534898315,1.418531994,1.418531994,1.418531994,1.376098287,1.376098287,1.580347302,1.502606227,1.53444188,1.534898315,1.469044402,1.376098287,1.502606227,1.502606227,1.502606227,1.580347302,1.53444188,1.53444188,1.53444188,1.469044402,1.53444188,1.53444188,1.422685741,1.53444188,1.53444188,1.376098287,1.376098287,1.376098287,1.376098287,1.502606227,1.43006281
19,1.430902912,1.451523965,1.451523965,1.430902912,1.430902912,1.430902912,1.553789371,1.553789371,1.430902912,1.430902912,1.430902912,1.372199991,1.372199991,1.575529169,1.493970559,1.529492068,1.553789371,1.477867491,1.372199991,1.493970559,1.493970559,1.493970559,1.575529169,1.529492068,1.529492068,1.529492068,1.477867491,1.529492068,1.529492068,1.451523965,1.529492068,1.529492068,1.372199991,1.372199991,1.372199991,1.372199991,1.493970559,1.414518649
20,1.435026552,1.465943077,1.465943077,1.435026552,1.435026552,1.435026552,1.572680427,1.572680427,1.435026552,1.435026552,1.435026552,1.376098287,1.376098287,1.561074773,1.511241895,1.529492068,1.572680427,1.491102126,1.376098287,1.511241895,1.511241895,1.511241895,1.561074773,1.529492068,1.529492068,1.529492068,1.491102126,1.529492068,1.529492068,1.465943077,1.529492068,1.529492068,1.376098287,1.376098287,1.376098287,1.376098287,1.511241895,1.461151131
21,1.45152111,1.475555819,1.475555819,1.45152111,1.45152111,1.45152111,1.591571484,1.591571484,1.45152111,1.45152111,1.45152111,1.372199991,1.372199991,1.551438509,1.502606227,1.529492068,1.591571484,1.517571394,1.372199991,1.502606227,1.502606227,1.502606227,1.551438509,1.529492068,1.529492068,1.529492068,1.517571394,1.529492068,1.529492068,1.475555819,1.529492068,1.529492068,1.372199991,1.372199991,1.372199991,1.372199991,1.502606227,1.440425584
22,1.463892028,1.48516856,1.48516856,1.463892028,1.463892028,1.463892028,1.601017012,1.601017012,1.463892028,1.463892028,1.463892028,1.368301696,1.368301696,1.541802245,1.489652725,1.524542255,1.601017012,1.535217573,1.368301696,1.489652725,1.489652725,1.489652725,1.541802245,1.524542255,1.524542255,1.524542255,1.535217573,1.524542255,1.524542255,1.48516856,1.524542255,1.524542255,1.368301696,1.368301696,1.368301696,1.368301696,1.489652725,1.388611714
23,1.463892028,1.489974931,1.489974931,1.463892028,1.463892028,1.463892028,1.619908068,1.619908068,1.463892028,1.463892028,1.463892028,1.376098287,1.376098287,1.546620377,1.502606227,1.53444188,1.619908068,1.552863752,1.376098287,1.502606227,1.502606227,1.502606227,1.546620377,1.53444188,1.53444188,1.53444188,1.552863752,1.53444188,1.53444188,1.489974931,1.53444188,1.53444188,1.376098287,1.376098287,1.376098287,1.376098287,1.502606227,1.362704779
24,1.472139307,1.514006785,1.514006785,1.472139307,1.472139307,1.472139307,1.629353596,1.629353596,1.472139307,1.472139307,1.472139307,1.379996582,1.379996582,1.536984113,1.524195397,1.539391693,1.629353596,1.552863752,1.379996582,1.524195397,1.524195397,1.524195397,1.536984113,1.539391693,1.539391693,1.539391693,1.552863752,1.539391693,1.539391693,1.514006785,1.539391693,1.539391693,1.379996582,1.379996582,1.379996582,1.379996582,1.524195397,1.352342005
25,1.484510226,1.523619526,1.523619526,1.484510226,1.484510226,1.484510226,1.619908068,1.619908068,1.484510226,1.484510226,1.484510226,1.387793173,1.387793173,1.527347849,1.563055903,1.539391693,1.619908068,1.557275297,1.387793173,1.563055903,1.563055903,1.563055903,1.527347849,1.539391693,1.539391693,1.539391693,1.557275297,1.539391693,1.539391693,1.523619526,1.539391693,1.539391693,1.387793173,1.387793173,1.387793173,1.387793173,1.563055903,1.373067553
26,1.484510226,1.494781302,1.494781302,1.484510226,1.484510226,1.484510226,1.676581236,1.676581236,1.484510226,1.484510226,1.484510226,1.403386355,1.403386355,1.541802245,1.588962907,1.544341505,1.676581236,1.561686842,1.403386355,1.588962907,1.588962907,1.588962907,1.541802245,1.544341505,1.544341505,1.544341505,1.561686842,1.544341505,1.544341505,1.494781302,1.544341505,1.544341505,1.403386355,1.403386355,1.403386355,1.403386355,1.588962907,1.367886166
27,1.488633866,1.514006785,1.514006785,1.488633866,1.488633866,1.488633866,1.700195057,1.700195057,1.488633866,1.488633866,1.488633866,1.418979537,1.418979537,1.546620377,1.584645073,1.559190943,1.700195057,1.579333021,1.418979537,1.584645073,1.584645073,1.584645073,1.546620377,1.559190943,1.559190943,1.559190943,1.579333021,1.559190943,1.559190943,1.514006785,1.559190943,1.559190943,1.418979537,1.418979537,1.418979537,1.418979537,1.584645073,1.383430327
